car_name, model, mpg,  odometer, miles, gallons, price, city_percentage, fuelup_date, date_added, tags, notes, missed_fuelup, partial_fuelup, latitude, longitude, brand
"Accord","Honda Accord Hybrid",48.16,24763.0,450,9.343,2.959,,2020-09-26,2020-09-26 19:01:24,"","",0,0,,,""
"Accord","Honda Accord Hybrid",45.06,24313.0,425,9.432,2.959,,2020-09-16,2020-09-16 21:38:13,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.86,23888.0,443,9.453,2.959,,2020-09-06,2020-09-06 23:10:09,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.43,23445.0,555,11.954,2.919,,2020-08-18,2020-08-18 19:13:47,"","",0,0,,,""
"Accord","Honda Accord Hybrid",50.97,22890.0,543,10.654,2.959,,2020-08-07,2020-08-07 01:51:32,"","",0,0,,,""
"Accord","Honda Accord Hybrid",49.13,22347.0,556,11.318,2.899,,2020-07-21,2020-07-21 18:39:28,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.37,21791.0,493,10.632,2.899,,2020-07-02,2020-07-02 21:16:53,"","",0,0,,,""
"Accord","Honda Accord Hybrid",49.85,21298.0,574,11.514,2.959,,2020-06-12,2020-06-12 00:02:58,"","",0,0,,,""
"Accord","Honda Accord Hybrid",48.31,20724.0,553,11.447,2.599,,2020-03-24,2020-03-24 19:27:13,"","",0,0,,,""
"Accord","Honda Accord Hybrid",49.51,20171.0,418,8.443,3.259,,2020-03-07,2020-03-07 00:55:30,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.93,19753.0,520,11.081,3.199,,2020-02-29,2020-02-29 03:53:18,"","",0,0,,,""
"Accord","Honda Accord Hybrid",48.45,19233.0,528,10.898,3.219,,2020-02-21,2020-02-21 21:18:08,"","",0,0,,,""
"Accord","Honda Accord Hybrid",45.09,18705.0,520,11.532,3.299,,2020-02-12,2020-02-12 04:31:01,"","",0,0,,,""
"Accord","Honda Accord Hybrid",45.49,18185.0,525,11.542,3.259,,2020-02-04,2020-02-04 02:01:25,"","",0,0,,,""
"Accord","Honda Accord Hybrid",47.14,17660.0,523,11.094,3.299,,2020-01-25,2020-01-25 01:04:26,"","",0,0,,,""
"Accord","Honda Accord Hybrid",45.02,17137.0,526,11.683,3.569,,2020-01-17,2020-01-17 04:18:02,"","",0,0,,,""
"Accord","Honda Accord Hybrid",47.12,16611.0,514,10.909,3.299,,2020-01-07,2020-01-07 21:56:31,"","",0,0,,,""
"Accord","Honda Accord Hybrid",44.33,16097.0,509,11.483,3.299,,2019-12-29,2019-12-29 19:22:59,"","",0,0,,,""
"Accord","Honda Accord Hybrid",43.06,15588.0,329,7.641,3.159,,2019-12-27,2019-12-28 21:38:22,"","",0,0,,,""
"Accord","Honda Accord Hybrid",42.18,15259.0,411,9.745,4.149,,2019-12-21,2019-12-26 19:47:03,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.33,14848.0,536,11.569,3.359,,2019-12-19,2019-12-19 22:21:44,"","",0,0,,,""
"Accord","Honda Accord Hybrid",44.32,14312.0,484,10.92,3.399,,2019-12-11,2019-12-11 18:49:35,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.15,13828.0,525,11.376,3.559,,2019-12-03,2019-12-03 21:22:48,"","",0,0,,,""
"Accord","Honda Accord Hybrid",44.87,13303.0,515,11.477,3.559,,2019-11-29,2019-11-29 20:34:32,"","",0,0,,,""
"Accord","Honda Accord Hybrid",47.22,12788.0,473,10.018,3.599,,2019-11-20,2019-11-20 20:50:26,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.83,12315.0,517,11.04,3.699,,2019-11-13,2019-11-13 21:01:22,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.2,11798.0,499,10.802,3.799,,2019-11-05,2019-11-05 19:46:43,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.59,11299.0,551,11.826,3.759,,2019-10-29,2019-10-29 18:57:05,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.95,10748.0,546,11.629,3.799,,2019-10-20,2019-10-20 19:20:18,"","",0,0,,,""
"Accord","Honda Accord Hybrid",47.11,10202.0,457,9.7,3.859,,2019-10-09,2019-10-09 19:46:49,"","",0,0,,,""
"Accord","Honda Accord Hybrid",49.54,9745.0,571,11.525,4.159,,2019-10-03,2019-10-03 15:19:39,"","",0,0,,,""
"Accord","Honda Accord Hybrid",48.19,9174.0,524,10.873,3.459,,2019-09-25,2019-09-25 18:28:56,"","",0,0,,,""
"Accord","Honda Accord Hybrid",40.74,8650.0,482,11.832,3.609,,2019-09-17,2019-09-17 04:18:54,"","",0,0,,,""
"Accord","Honda Accord Hybrid",39.32,8168.0,301,7.655,3.199,,2019-09-15,2019-09-15 21:26:51,"","",0,0,,,""
"Accord","Honda Accord Hybrid",37.98,7867.0,416,10.952,3.179,,2019-09-12,2019-09-12 20:07:10,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.23,7451.0,545,11.788,3.589,,2019-09-12,2019-09-12 03:47:24,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.17,6906.0,493,10.679,3.399,,2019-09-04,2019-09-04 22:39:20,"","",0,0,,,""
"Accord","Honda Accord Hybrid",45.43,6413.0,510,11.226,3.259,,2019-08-28,2019-08-28 18:58:37,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.62,5903.0,540,11.583,3.509,,2019-08-23,2019-08-23 22:48:09,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.64,5363.0,549,11.772,3.299,,2019-08-15,2019-08-15 01:52:18,"","",0,0,,,""
"Accord","Honda Accord Hybrid",47.11,4814.0,550,11.674,3.649,,2019-08-09,2019-08-09 05:27:34,"","",0,0,,,""
"Accord","Honda Accord Hybrid",47.7,4264.0,497,10.42,3.459,,2019-07-31,2019-07-31 02:51:38,"","",0,0,,,""
"Accord","Honda Accord Hybrid",44.59,3767.0,475,10.653,3.359,,2019-07-24,2019-07-24 22:57:41,"","",0,0,,,""
"Accord","Honda Accord Hybrid",50.18,3292.0,195,3.886,3.749,,2019-07-21,2019-07-21 15:05:09,"","",0,0,,,""
"Accord","Honda Accord Hybrid",49.65,3097.0,562,11.319,3.399,,2019-07-18,2019-07-18 00:27:05,"","",0,0,,,""
"Accord","Honda Accord Hybrid",48.22,2535.0,585,12.131,3.559,,2019-07-08,2019-07-08 01:36:12,"","",0,0,,,""
"Accord","Honda Accord Hybrid",48.92,1950.0,491,10.037,3.499,,2019-06-30,2019-06-30 20:03:36,"","",0,0,,,""
"Accord","Honda Accord Hybrid",48.67,1459.0,521,10.704,3.809,,2019-06-22,2019-06-22 04:00:17,"","",0,0,,,""
"Accord","Honda Accord Hybrid",45.06,938.0,457,10.142,3.499,,2019-06-12,2019-06-12 21:20:00,"","",0,0,,,""
"Accord","Honda Accord Hybrid",0,481.0,0,10.951,3.599,,2019-05-31,2019-05-31 19:09:47,"","",0,0,,,""
